"","VOTE_STATUS","VOTE_DIFFICULTY","VOTED_CANDIDATE_SUMMARY","VOTED_CANDIDATE","REGISTRATION_STATUS","ELIGIBILITY","INTERVIEWS","CASE_ID","VOTE_REASON","INTERVIEWS_CLEAN","ELIGIBILITY_CLEAN","REGISTRATION_STATUS_CLEAN","VOTED_CANDIDATE_CLEAN","VOTED_CANDIDATE_SUMMARY_CLEAN","VOTE_DIFFICULTY_CLEAN","VOTE_STATUS_CLEAN"
"1",-7,-7,-7,-7,-7,0,1,213486,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"2",-7,-7,-7,-7,-7,0,1,348252,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"3",-7,-7,-7,-7,-7,0,1,313683,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"4",-7,-7,-7,-7,-7,0,1,322564,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"5",-7,-7,-7,-7,-7,0,1,312628,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"6",-7,-7,-7,-7,-7,0,1,317944,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"7",-7,-7,-7,-7,-7,0,1,202882,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"8",-7,-7,-7,-7,-7,0,1,354820,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"9",-7,-7,-7,-7,-7,0,1,406622,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"10",-7,-7,-7,-7,-7,0,1,426152,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"11",-7,-7,-7,-7,-7,0,1,448770,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"12",-7,-7,-7,-7,-7,0,1,421089,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
"13",-7,-7,-7,-7,-7,0,1,361095,-7,"pre-election interview (only) complete","No special concern",NA,NA,NA,"No post-election data, deleted due to incomplete interview",NA
